UPM,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P1_5_3,P2_1,P2_2,P2_3,FAC_VIV,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT
100023,1,3,1,1,1,1,1,1,1,1,-1.0,174,1,7,U,1,3,1
100023,2,3,1,1,1,1,1,1,6,1,-1.0,174,1,7,U,1,3,1
100023,3,3,1,1,1,1,1,1,2,1,-1.0,174,1,7,U,1,3,1
100023,4,3,1,1,1,1,1,2,9,1,-1.0,174,1,7,U,1,3,1
100023,5,3,1,1,1,1,1,2,3,1,-1.0,174,1,7,U,1,3,1
100029,1,3,1,1,1,1,1,2,5,1,-1.0,222,2,6,U,1,2,1
100029,2,3,1,1,1,1,1,1,3,1,-1.0,222,2,6,U,1,2,1
100029,3,2,1,1,1,2,2,2,5,1,-1.0,222,2,6,U,1,2,1
100029,5,3,1,1,1,1,1,1,3,1,-1.0,222,2,6,U,1,2,1
100037,1,3,1,1,1,1,1,2,6,1,-1.0,169,3,7,U,1,3,1
100037,2,3,1,1,1,1,1,1,2,1,-1.0,169,3,7,U,1,3,1
100037,3,3,1,1,1,1,1,1,8,2,2.0,169,3,7,U,1,3,1
100037,4,3,1,1,1,1,1,1,6,1,-1.0,169,3,7,U,1,3,1
100038,1,2,1,1,1,2,2,1,1,1,-1.0,149,4,7,U,1,3,1
100038,2,3,1,1,1,1,1,2,2,1,-1.0,149,4,7,U,1,3,1
100038,3,2,1,1,1,1,1,2,2,1,-1.0,149,4,7,U,1,3,1
100038,4,2,1,1,1,1,1,1,4,1,-1.0,149,4,7,U,1,3,1
100038,5,3,1,1,1,1,1,1,4,1,-1.0,149,4,7,U,1,3,1
100044,3,3,1,1,1,1,1,1,5,1,-1.0,165,5,7,U,1,3,1
100044,5,3,1,1,1,1,1,2,1,1,-1.0,165,5,7,U,1,3,1
100056,1,2,1,1,1,1,1,1,3,1,-1.0,125,6,7,U,1,3,1
100056,2,3,1,1,1,1,1,1,2,1,-1.0,125,6,7,U,1,3,1
100056,3,3,1,1,1,1,1,1,4,1,-1.0,125,6,7,U,1,3,1
100056,4,3,1,1,1,1,1,2,2,1,-1.0,125,6,7,U,1,3,1
100056,5,3,1,1,1,1,1,2,5,1,-1.0,125,6,7,U,1,3,1
100067,1,3,1,1,1,1,1,1,4,1,-1.0,229,7,8,U,1,4,1
100067,2,3,1,1,1,1,1,1,6,1,-1.0,229,7,8,U,1,4,1
100067,3,3,1,1,1,1,1,1,3,1,-1.0,229,7,8,U,1,4,1
100067,4,3,1,1,1,1,1,1,1,1,-1.0,229,7,8,U,1,4,1
100067,5,3,1,1,1,1,1,1,2,1,-1.0,229,7,8,U,1,4,1
100070,1,3,1,1,1,1,1,1,3,1,-1.0,173,8,6,U,1,2,1
100070,2,3,1,1,1,1,1,1,4,1,-1.0,173,8,6,U,1,2,1
100070,3,3,1,1,1,1,1,1,4,1,-1.0,173,8,6,U,1,2,1
100070,4,3,1,1,1,1,1,1,4,1,-1.0,173,8,6,U,1,2,1
100070,5,3,1,1,1,1,1,1,4,1,-1.0,173,8,6,U,1,2,1
100075,1,3,1,1,1,1,1,2,4,1,-1.0,192,9,7,U,1,3,1
100075,3,3,1,1,1,1,1,2,9,1,-1.0,192,9,7,U,1,3,1
100075,4,3,1,1,1,1,1,2,1,1,-1.0,192,9,7,U,1,3,1
100075,5,2,1,1,1,1,1,1,4,1,-1.0,192,9,7,U,1,3,1
100078,1,3,1,1,1,1,1,2,1,1,-1.0,196,10,6,U,1,2,1
100078,2,3,1,1,1,1,1,2,6,1,-1.0,196,10,6,U,1,2,1
100078,3,2,1,1,1,2,2,2,4,1,-1.0,196,10,6,U,1,2,1
100093,1,3,1,1,1,1,1,1,4,1,-1.0,163,11,7,U,1,3,1
100093,2,3,1,1,1,1,1,1,2,1,-1.0,163,11,7,U,1,3,1
100093,4,3,1,1,1,1,1,1,2,1,-1.0,163,11,7,U,1,3,1
100093,5,3,1,1,1,1,1,2,5,1,-1.0,163,11,7,U,1,3,1
100094,1,3,1,1,1,1,1,2,3,1,-1.0,198,12,6,U,1,2,1
100094,2,3,1,1,1,1,1,2,2,1,-1.0,198,12,6,U,1,2,1
100094,3,3,1,1,1,1,2,1,3,1,-1.0,198,12,6,U,1,2,1
100094,4,3,1,1,1,1,1,1,4,1,-1.0,198,12,6,U,1,2,1
100094,5,2,1,1,1,1,1,1,2,1,-1.0,198,12,6,U,1,2,1
100099,2,2,1,1,1,1,1,2,1,1,-1.0,173,13,7,U,1,3,1
100099,3,3,1,1,1,2,2,2,1,1,-1.0,173,13,7,U,1,3,1
100099,5,3,1,1,1,1,1,1,3,1,-1.0,173,13,7,U,1,3,1
100112,1,3,1,1,1,1,1,1,4,1,-1.0,175,14,6,U,1,2,1
100112,2,3,1,1,1,1,1,2,6,1,-1.0,175,14,6,U,1,2,1
100112,3,3,1,1,1,1,1,2,2,1,-1.0,175,14,6,U,1,2,1
100112,4,3,1,1,1,1,1,1,4,1,-1.0,175,14,6,U,1,2,1
100112,5,3,1,1,1,1,1,1,1,1,-1.0,175,14,6,U,1,2,1
100128,1,2,2,1,1,2,2,2,2,1,-1.0,160,15,7,U,1,3,1
100128,2,3,1,1,1,1,1,1,4,1,-1.0,160,15,7,U,1,3,1
100128,3,3,1,1,1,1,1,2,8,1,-1.0,160,15,7,U,1,3,1
100128,5,3,1,1,1,1,1,1,6,1,-1.0,160,15,7,U,1,3,1
100130,1,3,1,1,1,1,1,1,5,1,-1.0,144,16,7,U,1,3,1
100130,2,3,1,1,1,1,1,1,3,1,-1.0,144,16,7,U,1,3,1
100130,3,3,1,1,1,1,1,1,3,1,-1.0,144,16,7,U,1,3,1
100130,4,3,1,1,1,1,1,1,3,1,-1.0,144,16,7,U,1,3,1
100130,5,3,1,1,1,1,1,2,2,1,-1.0,144,16,7,U,1,3,1
100148,1,3,1,1,1,1,1,2,1,1,-1.0,178,17,7,U,1,3,1
100148,2,3,1,1,1,1,2,1,3,1,-1.0,178,17,7,U,1,3,1
100148,3,3,1,1,1,1,1,2,2,1,-1.0,178,17,7,U,1,3,1
100148,4,3,1,1,1,1,1,2,3,1,-1.0,178,17,7,U,1,3,1
100152,1,3,1,1,1,1,1,1,3,1,-1.0,136,18,7,U,1,3,1
100152,2,3,1,1,1,1,1,1,4,1,-1.0,136,18,7,U,1,3,1
100152,3,3,1,1,1,1,1,1,1,1,-1.0,136,18,7,U,1,3,1
100152,4,3,1,1,1,1,1,1,2,1,-1.0,136,18,7,U,1,3,1
100152,5,3,1,1,1,1,1,1,3,1,-1.0,136,18,7,U,1,3,1
100161,2,3,1,1,1,1,1,2,1,1,-1.0,187,19,7,U,1,3,1
100161,3,3,1,1,1,1,1,2,2,1,-1.0,187,19,7,U,1,3,1
100161,4,3,1,1,1,1,1,1,6,1,-1.0,187,19,7,U,1,3,1
100162,1,2,1,1,1,1,1,2,2,1,-1.0,145,20,7,U,1,3,1
100162,2,3,1,1,1,1,1,1,5,1,-1.0,145,20,7,U,1,3,1
100162,3,3,1,1,1,1,1,2,5,1,-1.0,145,20,7,U,1,3,1
100162,4,3,1,1,1,1,1,2,4,1,-1.0,145,20,7,U,1,3,1
100162,5,3,1,1,1,1,1,1,2,1,-1.0,145,20,7,U,1,3,1
100171,1,3,1,1,1,1,1,2,2,1,-1.0,102,21,7,U,1,3,1
100171,2,3,1,1,1,1,1,1,3,1,-1.0,102,21,7,U,1,3,1
100171,3,3,1,1,1,1,1,1,4,1,-1.0,102,21,7,U,1,3,1
100171,4,3,1,1,1,1,2,2,2,2,2.0,102,21,7,U,1,3,1
100171,5,3,1,1,1,1,1,1,2,1,-1.0,102,21,7,U,1,3,1
100175,1,3,1,1,1,1,1,1,5,1,-1.0,210,22,6,U,1,2,1
100175,2,3,1,1,1,1,1,2,4,1,-1.0,210,22,6,U,1,2,1
100175,3,3,1,1,1,1,1,2,2,1,-1.0,210,22,6,U,1,2,1
100175,4,3,1,1,1,1,1,2,2,1,-1.0,210,22,6,U,1,2,1
100180,1,3,1,1,1,1,1,2,2,1,-1.0,166,23,7,U,1,3,1
100180,2,3,1,1,1,1,1,1,5,2,2.0,166,23,7,U,1,3,1
100180,3,3,1,1,1,1,1,1,4,2,2.0,166,23,7,U,1,3,1
100180,4,3,1,1,1,1,1,1,5,1,-1.0,166,23,7,U,1,3,1
100180,5,3,1,1,1,1,2,1,2,1,-1.0,166,23,7,U,1,3,1
100183,1,3,1,1,1,1,2,2,1,1,-1.0,163,24,7,U,1,3,1
100183,2,3,1,1,1,1,1,1,5,1,-1.0,163,24,7,U,1,3,1
100183,3,3,1,1,1,1,1,2,3,1,-1.0,163,24,7,U,1,3,1
100183,4,3,1,1,1,1,1,1,4,1,-1.0,163,24,7,U,1,3,1
100183,5,3,1,1,1,1,1,1,3,1,-1.0,163,24,7,U,1,3,1
100186,1,3,1,1,1,1,1,1,5,1,-1.0,171,25,7,U,1,3,1
100186,2,3,1,1,1,1,1,1,2,1,-1.0,171,25,7,U,1,3,1
100186,3,3,1,1,1,1,1,1,5,1,-1.0,171,25,7,U,1,3,1
100186,4,3,1,1,1,1,1,1,6,1,-1.0,171,25,7,U,1,3,1
100186,5,3,1,1,1,1,1,1,4,1,-1.0,171,25,7,U,1,3,1
100191,1,2,1,1,1,1,2,1,7,1,-1.0,183,26,7,U,1,3,1
100191,2,3,1,1,1,1,1,1,4,1,-1.0,183,26,7,U,1,3,1
100191,5,3,1,1,1,1,1,2,2,1,-1.0,183,26,7,U,1,3,1
100209,1,3,1,1,1,1,1,1,4,1,-1.0,144,27,7,U,1,3,1
100209,2,3,1,1,1,1,1,2,2,1,-1.0,144,27,7,U,1,3,1
100209,4,2,1,1,1,1,1,1,3,1,-1.0,144,27,7,U,1,3,1
100209,5,3,1,1,1,1,1,2,1,1,-1.0,144,27,7,U,1,3,1
100215,1,3,1,1,1,1,1,1,3,1,-1.0,208,28,7,U,1,3,1
100215,2,3,1,1,1,1,1,2,4,1,-1.0,208,28,7,U,1,3,1
100215,3,3,1,1,1,1,2,2,4,2,4.0,208,28,7,U,1,3,1
100215,4,3,1,1,1,1,1,1,6,1,-1.0,208,28,7,U,1,3,1
100215,5,3,1,1,1,1,2,1,3,2,3.0,208,28,7,U,1,3,1
100241,1,2,1,1,1,1,1,1,4,1,-1.0,156,29,7,U,1,3,1
100241,2,3,1,1,1,1,1,2,2,1,-1.0,156,29,7,U,1,3,1
100241,3,3,1,1,1,1,1,2,2,1,-1.0,156,29,7,U,1,3,1
100241,4,2,1,1,1,1,1,1,2,1,-1.0,156,29,7,U,1,3,1
100241,5,3,1,1,1,1,1,2,1,1,-1.0,156,29,7,U,1,3,1
100258,1,3,1,1,1,1,1,1,5,1,-1.0,154,30,7,U,1,3,1
100258,3,3,1,1,1,1,1,1,2,1,-1.0,154,30,7,U,1,3,1
100258,4,3,1,1,1,1,1,1,6,1,-1.0,154,30,7,U,1,3,1
100258,5,2,1,1,1,1,1,1,4,1,-1.0,154,30,7,U,1,3,1
100271,1,3,1,1,1,1,1,1,4,1,-1.0,175,31,7,U,1,3,1
100271,2,3,1,1,1,1,1,1,3,1,-1.0,175,31,7,U,1,3,1
100271,3,3,1,1,1,1,1,2,4,1,-1.0,175,31,7,U,1,3,1
100271,4,3,1,1,1,1,1,1,2,1,-1.0,175,31,7,U,1,3,1
100293,1,3,1,1,1,1,1,1,4,1,-1.0,185,32,7,U,1,3,1
100293,2,3,1,1,1,1,1,2,1,1,-1.0,185,32,7,U,1,3,1
100293,3,3,1,1,1,1,1,2,4,1,-1.0,185,32,7,U,1,3,1
100293,4,3,1,1,1,1,1,1,1,1,-1.0,185,32,7,U,1,3,1
100293,5,3,1,1,1,1,1,1,5,1,-1.0,185,32,7,U,1,3,1
100301,1,3,1,1,1,1,1,1,5,1,-1.0,215,33,8,U,1,4,1
100301,2,3,1,1,1,1,1,1,5,1,-1.0,215,33,8,U,1,4,1
